Country,year,num_conflicts,avg_intensity,max_intensity,avg_duration,total_duration,conflict_type_count,has_territory_conflict,has_government_conflict,has_both_conflict,conflicts_past_3years,intensity_past_3years
Bolivia,1949,1,1,1,0,0,1,0,1,0,1,1.5
Bolivia,1952,1,1,1,3,3,1,0,1,0,1,1.333333333
Bolivia,1967,1,1,1,199,199,1,0,1,0,1,1
Bosnia-Herzegovina,1992,2,1.5,2,,0,2,1,0,0,2,1.5
Bosnia-Herzegovina,1993,3,1.666666667,2,,0,2,1,0,0,2.5,1.583333333
Bosnia-Herzegovina,1994,3,1.666666667,2,603,603,1,1,0,0,2.666666667,1.611111111
Bosnia-Herzegovina,1995,2,1.5,2,994.5,1989,1,1,0,0,2.666666667,1.611111111
Brunei,1962,1,1,1,23,23,1,1,0,0,1,1
Burkina Faso,1987,1,1,1,0,0,1,0,1,0,1,1
Burkina Faso,2018,1,1,1,,0,1,0,1,0,1,1
Burkina Faso,2019,2,1,1,,0,1,1,1,0,1.333333333,1
Burkina Faso,2020,2,1,1,,0,1,1,1,0,1.666666667,1
Burkina Faso,2021,2,1,1,,0,1,1,1,0,2,1
Burkina Faso,2022,2,1.5,2,,0,1,1,1,0,2,1.166666667
Burkina Faso,2023,2,1.5,2,,0,2,1,1,0,2,1.333333333
"Burkina Faso, Mali",1985,1,1,1,5,5,1,1,0,0,1,1
Burundi,1965,1,1,1,0,0,1,0,1,0,1,1
Burundi,1991,1,1,1,,0,1,0,1,0,1,1
Burundi,1992,1,1,1,139,139,1,0,1,0,1,1
Burundi,1994,1,1,1,,0,1,0,1,0,1,1
Burundi,1995,1,1,1,,0,1,0,1,0,1,1
Burundi,1996,1,1,1,,0,1,0,1,0,1,1
Burundi,1997,1,2,2,,0,1,0,1,0,1,1.333333333
Burundi,1998,1,1,1,,0,1,0,1,0,1,1.333333333
Burundi,1999,1,1,1,,0,1,0,1,0,1,1.333333333
Burundi,2000,1,2,2,,0,1,0,1,0,1,1.333333333
Burundi,2001,1,2,2,,0,1,0,1,0,1,1.666666667
Burundi,2002,1,2,2,,0,1,0,1,0,1,2
Burundi,2003,1,1,1,,0,1,0,1,0,1,1.666666667
Burundi,2004,1,1,1,,0,1,0,1,0,1,1.333333333
Burundi,2005,1,1,1,,0,1,0,1,0,1,1
Burundi,2006,1,1,1,4361,4361,1,0,1,0,1,1
Burundi,2008,1,1,1,267,267,1,0,1,0,1,1
Burundi,2014,1,1,1,,0,1,0,1,0,1,1
Burundi,2015,1,1,1,346,346,1,0,1,0,1,1
Burundi,2019,1,1,1,,0,1,0,1,0,1,1
Burundi,2020,1,1,1,,0,1,0,1,0,1,1
Burundi,2021,1,1,1,,0,1,0,1,0,1,1
Burundi,2022,1,1,1,,0,1,0,1,0,1,1
Burundi,2023,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1946,1,1,1,,0,1,1,0,0,1,1
Cambodia (Kampuchea),1947,1,1,1,,0,1,1,0,0,1,1
Cambodia (Kampuchea),1948,1,1,1,,0,1,1,0,0,1,1
Cambodia (Kampuchea),1949,1,1,1,,0,1,1,0,0,1,1
Cambodia (Kampuchea),1950,1,1,1,,0,1,1,0,0,1,1
Cambodia (Kampuchea),1951,1,1,1,,0,1,1,0,0,1,1
Cambodia (Kampuchea),1952,1,1,1,,0,1,1,0,0,1,1
Cambodia (Kampuchea),1953,1,1,1,2627,2627,1,1,0,0,1,1
Cambodia (Kampuchea),1967,1,2,2,,0,1,0,1,0,1,1.333333333
Cambodia (Kampuchea),1968,1,1,1,,0,1,0,1,0,1,1.333333333
Cambodia (Kampuchea),1969,1,1,1,,0,1,0,1,0,1,1.333333333
Cambodia (Kampuchea),1970,1,2,2,,0,1,0,1,0,1,1.333333333
Cambodia (Kampuchea),1971,1,2,2,,0,1,0,1,0,1,1.666666667
Cambodia (Kampuchea),1972,1,2,2,,0,1,0,1,0,1,2
Cambodia (Kampuchea),1973,1,2,2,,0,1,0,1,0,1,2
Cambodia (Kampuchea),1974,1,2,2,,0,1,0,1,0,1,2
Cambodia (Kampuchea),1975,1,2,2,2878,2878,1,0,1,0,1,2
Cambodia (Kampuchea),1978,1,2,2,,0,1,0,1,0,1,2
Cambodia (Kampuchea),1979,1,1,1,,0,1,0,1,0,1,1.666666667
Cambodia (Kampuchea),1980,1,1,1,,0,1,0,1,0,1,1.333333333
Cambodia (Kampuchea),1981,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1982,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1983,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1984,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1985,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1986,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1987,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1988,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1989,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1990,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1991,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1992,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1993,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1994,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1995,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1996,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1997,1,1,1,,0,1,0,1,0,1,1
Cambodia (Kampuchea),1998,1,1,1,7217,7217,1,0,1,0,1,1
"Cambodia (Kampuchea), Thailand",1977,1,1,1,,0,1,1,0,0,1,1
"Cambodia (Kampuchea), Thailand",1978,1,1,1,365,365,1,1,0,0,1,1
"Cambodia (Kampuchea), Thailand",2011,1,1,1,4,4,1,1,0,0,1,1
"Cambodia (Kampuchea), Vietnam (North Vietnam)",1975,1,1,1,,0,1,1,0,0,1,1
"Cambodia (Kampuchea), Vietnam (North Vietnam)",1976,1,1,1,,0,1,1,0,0,1,1
"Cambodia (Kampuchea), Vietnam (North Vietnam)",1977,1,1,1,731,731,1,1,0,0,1,1
Cameroon,1957,1,1,1,,0,1,1,0,0,1,1
Cameroon,1958,1,1,1,,0,1,1,0,0,1,1
